Start Year,Start Month,Start Day,End Year,End Month,End Day,Location,Total Deaths,No. Affected,Total Affected,Insured Damage ('000 US$),Total Damage ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,State
2001,9,24,2001,10,2,Baja California Sur,3.0,3000.0,3800.0,150000.0,400000.0,120.0,Kph,25.5818014,-111.5706164,Baja California Sur
2002,9,20,2002,9,20,Campeche,13.0,500000.0,500030.0,280000.0,640000.0,180.0,Kph,19.0,-90.5,Campeche
2002,9,20,2002,9,20,Quintana Roo,13.0,500000.0,500030.0,280000.0,640000.0,180.0,Kph,19.6666671,-88.5000001,Quintana Roo
2002,9,20,2002,9,20,Yucatan,13.0,500000.0,500030.0,280000.0,640000.0,180.0,Kph,20.6845957,-88.8755669,Yucatán
2002,9,26,2002,9,27,Louisiana,1.0,13200.0,13200.0,200000.0,300000.0,105.0,Kph,30.8703881,-92.007126,Louisiana
2002,9,26,2002,9,27,Mississippi,1.0,13200.0,13200.0,200000.0,300000.0,105.0,Kph,32.9715285,-89.7348497,Mississippi
2002,9,26,2002,9,27,Alabama,1.0,13200.0,13200.0,200000.0,300000.0,105.0,Kph,33.2588817,-86.8295337,Alabama
2002,9,26,2002,9,27,Tennessee,1.0,13200.0,13200.0,200000.0,300000.0,105.0,Kph,35.7730076,-86.2820081,Tennessee
2003,9,18,2003,9,22,North Carolina,16.0,225000.0,225000.0,1685000.0,3370000.0,170.0,Kph,35.6729639,-79.0392919,North Carolina
2003,9,18,2003,9,22,Maryland,16.0,225000.0,225000.0,1685000.0,3370000.0,170.0,Kph,39.5162401,-76.9382069,Maryland
2003,9,18,2003,9,22,Virginia,16.0,225000.0,225000.0,1685000.0,3370000.0,170.0,Kph,37.1232245,-78.4927721,Virginia
2003,9,18,2003,9,22,West Virginia,16.0,225000.0,225000.0,1685000.0,3370000.0,170.0,Kph,38.4758406,-80.8408415,West Virginia
2003,9,18,2003,9,22,Delaware,16.0,225000.0,225000.0,1685000.0,3370000.0,170.0,Kph,38.6920451,-75.4013315,Delaware
2003,9,18,2003,9,22,Pennsylvania,16.0,225000.0,225000.0,1685000.0,3370000.0,170.0,Kph,40.9699889,-77.7278831,Pennsylvania
